granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
MAFF,NA,2011-04-01,2011 Apr,2011,4725000,4725000,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂7-10-20",NA,"分任支出負担行為担当官　関東農政局土地改良技術事務所長　柴田　知広
埼玉県川口市南町2-5-3",名称：平成２３年度　電子入札コアシステム保守　数量：一式,Goods and Services,特財,国所管,1,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1575000,1575000,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂7-10-20",NA,"分任支出負担行為担当官　関東農政局土地改良技術事務所長　柴田　知広
埼玉県川口市南町2-5-3",名称：平成２３年度　工事実績情報直接提供サービス（コリンズ）利用　数量：一式,Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1408000,0,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂七丁目10-20",NA,"支出負担行為担当官
東北森林管理局長
矢部三雄
秋田県秋田市中通五丁目9-16","平成23年度コリンズの利用及びテクリスの利用
利用ユーザーID数29",Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1305000,0,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂7-10-20",NA,"支出負担行為担当官
中部森林管理局長
城土裕
長野県長野市大字栗田715-5","コリンズ・テクリスＷｅｂ版検索システムの利用
一式",Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1305000,0,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂7-10-20",NA,"支出負担行為担当官
近畿中国森林管理局長
本村裕三
大阪市北区天満橋1-8-75","平成23年度コリンズ及びテクリスの利用料
一式",Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1050000,1050000,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂７－１０－２０",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",平成23年度CORINS/TECRIS（工事及び調査設計業務実績情報提供システム）の利用一式,Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,1537200,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会札幌支部
札幌市中央区宮の森4条4丁目1-5",NA,"分任支出負担行為担当官
檜山森林管理署長
池田敏
檜山郡厚沢部町緑町162-28","檜山森林管理署庁舎等清掃業務
一式（244日）",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,7482837,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会秋田支部
秋田県秋田市中通6-7-9",NA,"分任支出負担行為担当官
米代西部森林管理署長
栗林晃
秋田県能代市御指南町3-45","業務委託
631日",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,5153400,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会秋田支部
秋田県秋田市中通6-7-9",NA,"分任支出負担行為担当官
米代東部森林管理署長
小野順一郎
秋田県大館市上代野字中岱3-23","業務委託（事務委託）
3,272h",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,2857680,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会秋田支部
秋田県中通六丁目7-9",NA,"支出負担行為担当官
東北森林管理局長
矢部三雄
秋田県秋田市中通五丁目9-16","収穫、生産、販売に係る国有林野情報管理システム等事務委託
一式",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,24919524,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 秋田支部
秋田県秋田市中通6-7-9",NA,"支出負担行為担当官
東北森林管理局長
矢部三雄
秋田県秋田市中通五丁目9-16","証拠書類の照合・編集・製本作業請負
一式",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,13274100,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 秋田支部
秋田県秋田市中通6-7-9",NA,"支出負担行為担当官
東北森林管理局長
矢部三雄
秋田県秋田市中通五丁目9-16","国有林野情報管理システム等に係る歳入・歳出の事務処理作業
一式",Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,5334000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 名古屋支部
愛知県名古屋市熱田区白鳥1-8-2",NA,"分任支出負担行為担当官
中部森林管理局愛知森林管理事務所長
岩井広樹
愛知県新城市庭野字東萩野49-2","森林交流館の管理業務
一式",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,13524000,0,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会 大阪支部
大阪市北区同心2-13-4",NA,"支出負担行為担当官
近畿中国森林管理局長
本村裕三
大阪市北区天満橋1-8-75","証拠書類外の編集･製本業務
一式",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,7371000,同種の他の契約の予定価格を類推させる恐れがあるため非公表とする。,日本森林林業振興会,一般財団法人日本森林林業振興会,"財団法人日本森林林業振興会高知支部
（高知県高知市丸ノ内1-7-36）",NA,"森林総合研究所
林木育種センター
関西育種場長　廣野郁夫
（岡山県勝田郡勝央町植月中1043）",関西育種場四国増殖保存園に係る育種樹木育成管理業務,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki3-3
MAFF,NA,2011-04-01,2011 Apr,2011,112000000,0,日本水産資源保護協会,社団法人日本水産資源保護協会,"①社団法人日本水産資源保護協会②一般社団法人全国水産技術者協会③みらい建設工業株式会社九州支店④新日本環境調査株式会社⑤いであ株式会社⑥株式会社シャトー海洋調査⑦株式会社日本海洋生物研究所
①東京都中央区明石町１－１②東京都港区赤坂１－９－１３③福岡県福岡市博多区上呉服町１０－１④東京都世田谷区駒沢３－１５－１⑤東京都世田谷区駒沢３－１５－１⑥大阪府大阪市都島区片町１－４－２⑦東京都品川区豊町４－３－１６",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関1-2-1",平成23年度水産基盤整備実証調査事業一式,Goods and Services,特社,国所管,1,Negotiated,35,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,27262200,0,日本海事検定協会,一般社団法人日本海事検定協会,"一般社団法人日本海事検定協会
東京都中央区八丁堀1－9－7",NA,"支出負担行為担当官　農林水産省大臣官房経理課長　石田　寿
東京都千代田区霞が関１－２－１",遺伝子組換え農作物実態調査に係る分析業務,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,2016000,0,日本海事検定協会,一般社団法人日本海事検定協会,"社団法人日本海事検定協会
東京都中央区八丁堀１－９－７",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",清水駐在官事務所事務室賃貸借料,Goods and Services,特社,国所管,0,Negotiated,0,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,14500000,0,日本生物科学研究所,一般財団法人日本生物科学研究所,"（財）日本生物科学研究所
（東京都青梅市新町９－２２２１－１）",NA,"生物系特定産業技術研究支援センター所長　前川泰一郎
（埼玉県さいたま市北区日進町１－４０－２）",生分解性ナノ粒子固定化ペプチドの牛個体への投与試験　1件,Goods and Services,特財,国所管,182,Negotiated,0,h23_youshiki3-4
MAFF,NA,2011-04-01,2011 Apr,2011,1490000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関１－２－１",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号４）,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,1030000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関１－２－１",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号２）,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,900000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関１－２－１",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号１１）,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,680000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関１－２－１",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号１０）,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,1510000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関一丁目2番1号",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号７）,Goods and Services,特財,国所管,4,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,1250000,0,日本穀物検定協会,一般財団法人日本穀物検定協会,"財団法人日本穀物検定協会
東京都中央区日本橋兜町15-6",NA,"食料安定供給特別会計支出負担行為担当官　農林水産省　総合食料局長　髙橋　博
東京都千代田区霞が関一丁目2番1号",食糧麦備蓄対策事業における備蓄数量の確認業務（入札番号８）,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
